A198252	1
ASM192945v1	1
ASM192951v1	1
ASM192977v1	1
ASM192988v1	1
ASM192996v1	1
ASM192998v1	1
ASM193010v1	1
ASM193032v1	1
ASM193044v1	1
ASM193061v1	1
ASM193062v1	1
ASM193068v1	1
ASM193069v1	1
ASM193070v1	1
ASM193084v1	1
ASM193109v1	1
ASM193134v1	1
ASM193136v1	1
A194411	1
A194414	1
A194420	1
A194424	1
A196714	1
ASM193089v1	1
ASM193093v1	1
ASM192946v1	1
ASM192952v1	1
ASM192956v1	1
ASM192959v1	1
ASM192964v1	1
ASM192970v1	1
ASM192990v1	1
ASM193002v1	1
ASM193019v1	1
ASM193028v1	1
ASM193046v1	1
ASM193060v1	1
ASM193087v1	1
ASM193092v1	1
ASM193126v1	1
ASM192965v1	1
ASM192966v1	1
ASM192973v1	1
ASM192976v1	1
ASM192985v1	1
ASM193030v1	1
ASM193036v1	1
ASM193038v1	1
ASM193040v1	1
ASM193047v1	1
ASM193073v1	1
ASM193076v1	1
ASM193123v1	1
A193010	0
A196291	0
A197897	0
A198602	0
A196038	0
A197597	0
A198296	0
A198447	0
A199107	0
ASM192971v1	0
ASM192989v1	0
ASM193058v1	0
ASM193077v1	0
ASM193078v1	0
ASM193082v1	0
ASM193096v1	0
ASM193104v1	0
ASM193137v1	0
ASM193144v1	0
B6291	0
A198251	0
A198640	0
ASM193050v1	0
ASM193097v1	0
ASM193102v1	0
ASM193103v1	0
ASM193108v1	0
ASM193141v1	0
